customer_id,customer_segment,customer_city,customer_state,customer_country,customer_zipcode
20755,Consumer,Caguas,PR,Puerto Rico,725
19492,Consumer,Caguas,PR,Puerto Rico,725
19491,Consumer,San Jose,CA,EE. UU.,95125
19490,Home Office,Los Angeles,CA,EE. UU.,90027
19489,Corporate,Caguas,PR,Puerto Rico,725
19488,Consumer,Tonawanda,NY,EE. UU.,14150
19487,Home Office,Caguas,PR,Puerto Rico,725
19486,Corporate,Miami,FL,EE. UU.,33162
19485,Corporate,Caguas,PR,Puerto Rico,725
19484,Corporate,San Ramon,CA,EE. UU.,94583
19483,Corporate,Caguas,PR,Puerto Rico,725
19482,Consumer,Freeport,NY,EE. UU.,11520
19481,Corporate,Salinas,CA,EE. UU.,93905
19480,Corporate,Caguas,PR,Puerto Rico,725
19479,Corporate,Peabody,MA,EE. UU.,1960
19478,Corporate,Caguas,PR,Puerto Rico,725
19477,Corporate,Canovanas,PR,Puerto Rico,729
19476,Corporate,Paramount,CA,EE. UU.,90723
19475,Consumer,Caguas,PR,Puerto Rico,725
19474,Consumer,Mount Prospect,IL,EE. UU.,60056
19473,Corporate,Long Beach,CA,EE. UU.,90813
19472,Corporate,Caguas,PR,Puerto Rico,725
19471,Corporate,Rancho Cordova,CA,EE. UU.,95670
19470,Corporate,Caguas,PR,Puerto Rico,725
19469,Corporate,Billings,MT,EE. UU.,59102
19468,Corporate,Caguas,PR,Puerto Rico,725
19467,Consumer,Wilkes Barre,PA,EE. UU.,18702
19466,Corporate,Caguas,PR,Puerto Rico,725
19465,Corporate,Roseville,MI,EE. UU.,48066
19464,Consumer,Bellflower,CA,EE. UU.,90706
19463,Consumer,Caguas,PR,Puerto Rico,725
19462,Consumer,Wheaton,IL,EE. UU.,60187
19461,Consumer,Caguas,PR,Puerto Rico,725
19460,Consumer,Detroit,MI,EE. UU.,48238
19459,Consumer,Dallas,TX,EE. UU.,75220
19458,Corporate,Caguas,PR,Puerto Rico,725
19457,Corporate,Carlisle,PA,EE. UU.,17013
19456,Corporate,Dallas,TX,EE. UU.,75228
19455,Consumer,Caguas,PR,Puerto Rico,725
19454,Consumer,Newark,DE,EE. UU.,19702
19453,Consumer,Panorama City,CA,EE. UU.,91402
19452,Home Office,Caguas,PR,Puerto Rico,725
19451,Home Office,Atlanta,GA,EE. UU.,30318
19450,Home Office,Caguas,PR,Puerto Rico,725
19449,Consumer,Fremont,CA,EE. UU.,94539
19448,Corporate,Caguas,PR,Puerto Rico,725
19447,Corporate,Rochester,NY,EE. UU.,14609
19446,Corporate,Dallas,TX,EE. UU.,75211
9083,Home Office,Bayamon,PR,Puerto Rico,957
4741,Home Office,Caguas,PR,Puerto Rico,725
639,Home Office,Caguas,PR,Puerto Rico,725
9702,Home Office,Caguas,PR,Puerto Rico,725
9114,Home Office,Caguas,PR,Puerto Rico,725
1362,Home Office,Caguas,PR,Puerto Rico,725
8011,Home Office,Caguas,PR,Puerto Rico,725
3296,Home Office,Caguas,PR,Puerto Rico,725
3182,Home Office,Caguas,PR,Puerto Rico,725
7864,Home Office,Caguas,PR,Puerto Rico,725
11169,Home Office,Caguas,PR,Puerto Rico,725
5197,Home Office,Caguas,PR,Puerto Rico,725
1535,Home Office,Caguas,PR,Puerto Rico,725
6122,Home Office,Caguas,PR,Puerto Rico,725
9451,Home Office,Caguas,PR,Puerto Rico,725
542,Home Office,Caguas,PR,Puerto Rico,725
11329,Home Office,Caguas,PR,Puerto Rico,725
3570,Home Office,Caguas,PR,Puerto Rico,725
650,Home Office,Caguas,PR,Puerto Rico,725
9353,Home Office,Caguas,PR,Puerto Rico,725
54,Home Office,Caguas,PR,Puerto Rico,725
12151,Home Office,Caguas,PR,Puerto Rico,725
10018,Home Office,Caguas,PR,Puerto Rico,725
4936,Home Office,Caguas,PR,Puerto Rico,725
8707,Home Office,Caguas,PR,Puerto Rico,725
1025,Home Office,Caguas,PR,Puerto Rico,725
8831,Home Office,Caguas,PR,Puerto Rico,725
10679,Home Office,Caguas,PR,Puerto Rico,725
